"County, State",FIPS,State,Total Population,2019 Food Insecurity %,2019 Food Insecurity #,"[Revised Projections – March 2021]
2020 Food Insecurity  %","[Revised Projections – March 2021]
2020 Food Insecurity #","[Revised Projections – March 2021]
2020 Food Insecurity % Change","[Revised Projections – March 2021]
2020 Food Insecurity # Change","[Revised Projections – March 2021]
Adjusted Annual Unemployment Change",Total Child Population,2019 Child Food Insecurity  %,2019 Child Food Insecurity #,"[Revised Projections – March 2021]
2020 Child Food Insecurity  %","[Revised Projections – March 2021]
2020 Child Food Insecurity #","[Revised Projections – March 2021]
2020 Child Food Insecurity % Change","[Revised Projections – March 2021]
2020 Child Food Insecurity # Change"
"Autauga County, Alabama",1001,AL,55380,0.157,8670,0.178,9830,13,1160,2.6,13205,0.196,2590,0.233,3070,19,480
"Baldwin County, Alabama",1003,AL,212830,0.134,28590,0.159,33900,19,5310,3.4,46235,0.144,6680,0.189,8720,30,2040
"Barbour County, Alabama",1005,AL,25361,0.207,5250,0.231,5850,12,610,3.2,5307,0.324,1720,0.366,1940,13,220
"Bibb County, Alabama",1007,AL,22493,0.163,3680,0.191,4300,17,620,4.0,4631,0.218,1010,0.267,1240,23,230
"Blount County, Alabama",1009,AL,57681,0.145,8380,0.162,9330,11,940,1.7,13389,0.154,2060,0.182,2430,18,380
"Bullock County, Alabama",1011,AL,10248,0.157,1610,0.176,1800,12,190,2.2,2128,0.317,670,0.349,740,10,70
"Butler County, Alabama",1013,AL,19828,0.165,3280,0.2,3960,21,680,5.3,4455,0.256,1140,0.318,1420,24,280
"Calhoun County, Alabama",1015,AL,114618,0.172,19660,0.201,22990,17,3330,4.2,24952,0.226,5630,0.277,6920,23,1290
"Chambers County, Alabama",1017,AL,33660,0.154,5190,0.183,6150,19,960,4.1,7065,0.223,1570,0.273,1930,23,360
"Cherokee County, Alabama",1019,AL,25903,0.161,4170,0.179,4630,11,460,2.0,5245,0.168,880,0.199,1040,18,160
"Chilton County, Alabama",1021,AL,44055,0.172,7590,0.194,8530,12,940,2.7,10635,0.194,2060,0.231,2460,19,400
"Choctaw County, Alabama",1023,AL,12925,0.189,2440,0.209,2700,11,260,2.4,2603,0.301,780,0.336,870,11,90
"Clarke County, Alabama",1025,AL,24128,0.186,4490,0.211,5100,14,620,3.5,5287,0.254,1340,0.299,1580,18,240
"Clay County, Alabama",1027,AL,13337,0.165,2200,0.179,2390,8,180,1.2,2778,0.204,570,0.228,630,11,60
"Cleburne County, Alabama",1029,AL,14916,0.182,2710,0.199,2960,9,250,1.8,3383,0.218,740,0.247,840,13,100
"Coffee County, Alabama",1031,AL,51662,0.157,8130,0.174,8980,10,850,1.7,12259,0.2,2450,0.228,2790,14,350
"Colbert County, Alabama",1033,AL,54771,0.165,9040,0.19,10410,15,1380,3.5,11553,0.199,2300,0.244,2820,22,510
"Conecuh County, Alabama",1035,AL,12394,0.16,1990,0.186,2300,16,310,3.5,2604,0.259,680,0.304,790,17,120
"Coosa County, Alabama",1037,AL,10757,0.15,1620,0.171,1840,14,230,2.7,1801,0.224,400,0.261,470,16,70
"Covington County, Alabama",1039,AL,37200,0.181,6730,0.197,7340,9,610,1.7,8163,0.234,1910,0.262,2140,12,230
"Crenshaw County, Alabama",1041,AL,13844,0.155,2150,0.178,2470,15,320,3.1,3106,0.202,630,0.243,760,20,130
"Cullman County, Alabama",1043,AL,82853,0.164,13610,0.182,15070,11,1460,2.0,18705,0.174,3260,0.205,3830,17,570
